,ts,rad
0,2022-04-19 13:53:00+00:00,0.66
1,2022-04-19 13:54:00+00:00,0.66
2,2022-04-19 13:56:00+00:00,0.67
3,2022-04-19 13:58:00+00:00,0.67
4,2022-04-19 13:59:00+00:00,0.68
5,2022-04-19 14:00:00+00:00,0.68
6,2022-04-19 14:02:00+00:00,0.68
7,2022-04-19 14:03:00+00:00,0.69
8,2022-04-19 14:04:00+00:00,0.69
9,2022-04-19 14:06:00+00:00,0.7
10,2022-04-19 14:07:00+00:00,0.71
11,2022-04-19 14:08:00+00:00,0.71
12,2022-04-19 14:09:00+00:00,0.72
13,2022-04-19 14:10:00+00:00,0.72
14,2022-04-19 14:12:00+00:00,0.72
15,2022-04-19 14:14:00+00:00,0.73
16,2022-04-19 14:15:00+00:00,0.73
17,2022-04-19 14:16:00+00:00,0.74
18,2022-04-19 14:17:00+00:00,0.74
19,2022-04-19 14:18:00+00:00,0.74
20,2022-04-19 14:19:00+00:00,0.74
21,2022-04-19 14:20:00+00:00,0.75
22,2022-04-19 14:22:00+00:00,0.75
23,2022-04-19 14:24:00+00:00,0.76
24,2022-04-19 14:25:00+00:00,0.76
25,2022-04-19 14:26:00+00:00,0.77
26,2022-04-19 14:27:00+00:00,0.77
27,2022-04-19 14:28:00+00:00,0.77
28,2022-04-19 14:30:00+00:00,0.78
29,2022-04-19 14:32:00+00:00,0.79
30,2022-04-19 14:34:00+00:00,0.79
31,2022-04-19 14:35:00+00:00,0.79
32,2022-04-19 14:36:00+00:00,0.8
33,2022-04-19 14:37:00+00:00,0.8
34,2022-04-19 14:38:00+00:00,0.8
35,2022-04-19 14:40:00+00:00,0.81
36,2022-04-19 14:42:00+00:00,0.81
37,2022-04-19 14:43:00+00:00,0.82
38,2022-04-19 14:44:00+00:00,0.82
39,2022-04-19 14:45:00+00:00,0.82
40,2022-04-19 14:46:00+00:00,0.83
41,2022-04-19 14:48:00+00:00,0.83
42,2022-04-19 14:49:00+00:00,0.84
43,2022-04-19 14:50:00+00:00,0.84
44,2022-04-19 14:52:00+00:00,0.84
45,2022-04-19 14:54:00+00:00,0.85
46,2022-04-19 14:56:00+00:00,0.85
47,2022-04-19 14:57:00+00:00,0.85
48,2022-04-19 14:58:00+00:00,0.86
49,2022-04-19 14:59:00+00:00,0.86
50,2022-04-19 15:00:00+00:00,0.86
51,2022-04-19 15:02:00+00:00,0.86
52,2022-04-19 15:03:00+00:00,0.87
53,2022-04-19 15:04:00+00:00,0.87
54,2022-04-19 15:06:00+00:00,0.88
55,2022-04-19 15:07:00+00:00,0.88
56,2022-04-19 15:08:00+00:00,0.88
57,2022-04-19 15:10:00+00:00,0.89
58,2022-04-19 15:12:00+00:00,0.89
59,2022-04-19 15:14:00+00:00,0.9
60,2022-04-19 15:16:00+00:00,0.9
61,2022-04-19 15:17:00+00:00,0.9
62,2022-04-19 15:18:00+00:00,0.9
63,2022-04-19 15:19:00+00:00,0.91
64,2022-04-19 15:20:00+00:00,0.91
65,2022-04-19 15:22:00+00:00,0.91
66,2022-04-19 15:24:00+00:00,0.92
67,2022-04-19 15:25:00+00:00,0.92
68,2022-04-19 15:28:00+00:00,0.94
69,2022-04-19 15:29:00+00:00,0.94
70,2022-04-19 15:30:00+00:00,0.95
71,2022-04-19 15:31:00+00:00,0.95
72,2022-04-19 15:32:00+00:00,0.95
73,2022-04-19 15:34:00+00:00,0.96
74,2022-04-19 15:35:00+00:00,0.96
75,2022-04-19 15:36:00+00:00,0.97
76,2022-04-19 15:38:00+00:00,0.97
77,2022-04-19 15:40:00+00:00,0.98
78,2022-04-19 15:41:00+00:00,0.98
79,2022-04-19 15:42:00+00:00,0.98
80,2022-04-19 15:44:00+00:00,0.99
81,2022-04-19 15:45:00+00:00,0.99
82,2022-04-19 15:46:00+00:00,1.0
83,2022-04-19 15:49:00+00:00,1.01
84,2022-04-19 15:50:00+00:00,1.01
85,2022-04-19 15:51:00+00:00,1.02
86,2022-04-19 15:54:00+00:00,1.02
87,2022-04-19 15:56:00+00:00,1.03
88,2022-04-19 15:57:00+00:00,1.03
89,2022-04-19 15:58:00+00:00,1.04
90,2022-04-19 16:00:00+00:00,1.04
91,2022-04-19 16:02:00+00:00,1.04
92,2022-04-19 16:03:00+00:00,1.05
93,2022-04-19 16:04:00+00:00,1.05
94,2022-04-19 16:05:00+00:00,1.05
95,2022-04-19 16:07:00+00:00,1.06
96,2022-04-19 16:08:00+00:00,1.06
97,2022-04-19 16:10:00+00:00,1.07
98,2022-04-19 16:12:00+00:00,1.07
99,2022-04-19 16:14:00+00:00,1.08
100,2022-04-19 16:15:00+00:00,1.08
101,2022-04-19 16:16:00+00:00,1.08
102,2022-04-19 16:20:00+00:00,1.09
103,2022-04-19 16:21:00+00:00,1.09
104,2022-04-19 16:22:00+00:00,1.09
105,2022-04-19 16:24:00+00:00,1.09
106,2022-04-19 16:25:00+00:00,1.1
107,2022-04-19 16:26:00+00:00,1.1
108,2022-04-19 16:28:00+00:00,1.1
109,2022-04-19 16:30:00+00:00,1.11
110,2022-04-19 16:31:00+00:00,1.11
111,2022-04-19 16:32:00+00:00,1.11
112,2022-04-19 16:34:00+00:00,1.12
113,2022-04-19 16:35:00+00:00,1.12
114,2022-04-19 16:38:00+00:00,1.13
115,2022-04-19 16:40:00+00:00,1.13
116,2022-04-19 16:42:00+00:00,1.13
